project_id,cross-entropy_mean,Maintainability Index,changeNoExpert
11161411,4.649215466666666,55.83472874149663,0.0
26427893,4.9535988,56.642437514285724,5.791190864600326
27472783,5.120644466666667,71.36626481481483,18.394388152766954
27489574,3.933792666666668,66.45246607142856,5.997693194925028
27496810,4.802755400000001,86.42542787037037,11.089238845144354
27940657,4.652295733333332,63.733861194029856,0.0
28261590,3.921776,53.20401764705881,0.3856041131105398
28420571,4.539704933333334,65.63880788753794,11.49919398173025
28687875,3.1758345666666665,69.91916451612903,4.7328244274809155
28884786,3.2988986599999994,84.26344924012159,27.962962962962962
29026813,4.614163333333334,51.82334516129032,0.0
29126205,4.408126266666667,68.52227088235293,0.0
29379373,3.1569712000000005,69.09260400000002,23.80038387715931
29817913,3.3714758666666658,78.96282887323945,3.7539103232533884
30169075,6.4855247999999985,79.39322790697673,15.664845173041895
31015510,2.6154954,70.61845873015874,6.9767441860465125
31030536,4.1416336000000005,70.46806551724137,0.08710801393728224
31069027,3.995902333333333,90.99569172185429,4.689331770222744
31125446,3.3857412666666664,58.04142105263157,0.0
31400029,3.1308006733333333,95.7060406060606,4.206836108676598
31657027,4.707314066666666,60.567461296296294,9.933142311365808
32552050,2.285517553333334,95.731525,0.0
34561609,3.588059513333334,70.26930517241382,0.0
34600889,3.25606072,92.73641315789473,0.5802707930367504
35149818,4.1624213333333335,74.69069960317458,0.0
36761320,4.005252866666666,64.29535000000001,3.3807829181494666
40955019,2.531698640000001,86.20876355685135,0.5905511811023622
41010830,3.769488933333333,80.18852361111108,0.0
41339733,5.2687855333333315,62.02926899999999,0.0
47754491,4.8219172000000015,84.60494117647056,0.0
47838894,5.371555,56.17522725490197,14.341517857142858
51732151,4.925895933333334,75.214984,4.878048780487805
52512066,3.7071870533333335,71.56996,0.0
56604179,5.444093199999998,67.05799981981981,0.0
