project_id,mergedPullrequest_count
1142,503
1490,3
8081,0
8871,383
9793,109
10824,27
11453,5
13666,42
31723,23
45658,47
54266,0
55818,3
62741,3
64630,79
69206,8
85925,0
131909,0
144335,0
153663,22
181526,7325
188867,0
194154,0
195159,0
223561,2
286987,0
323872,3
333065,0
417964,5
480189,0
494272,0
506900,0
680323,0
701640,0
728153,12
775232,2
795859,0
802405,0
809314,2629
829649,0
856441,2
894588,0
901605,0
1062235,0
1069376,0
1193745,0
1432841,0
1522387,0
1974423,3
2230747,0
2309585,1
2467274,0
2501984,0
2511063,0
2689873,0
2771113,0
2789109,0
2794780,63
2847704,0
2884492,1
3010407,0
3111304,0
3182310,11
3202818,3
3213843,0
3219077,127
3605768,0
3672400,1
3780176,11
3867439,0
3879861,28
3929178,8417
3946682,0
4022910,0
4027987,0
4378847,0
4429866,0
4449031,13
4473333,170
4542112,0
4757690,2
4766756,0
4837138,4
4845094,0
4928468,0
5017985,0
5080558,0
5112713,0
5114635,0
5157401,16
5374655,17
5490882,3
5531064,3
5541827,132
5541830,0
5774282,0
5783454,0
6065028,0
6120371,0
6197453,0
6211510,0
6369242,0
6389567,0
6476018,0
6509126,1
6647075,0
6850710,0
7296431,1
7332763,0
7405649,0
7484910,0
7517171,0
7565205,0
7667597,0
7710184,0
7808844,0
7820774,0
8263008,26
8429554,0
8528375,0
8533092,1
8642892,0
8892059,0
8961082,0
8964129,5
9011315,0
9220450,0
9313674,1
9408755,0
9555207,0
9714508,0
9755597,0
9806716,2
9859425,2
9911373,0
9914117,0
9936411,0
9992447,0
9995770,0
10016145,0
10083240,0
10095118,0
10230856,3
10275805,0
10468973,26
10491744,1
10535452,0
10597460,0
10609057,9
10617561,0
10749359,0
10752221,0
10768726,0
10775142,0
11015752,8
11114278,0
11201097,0
11637464,165
11664079,27
11745340,0
11765420,0
11803289,1
11881598,1
12286104,0
12365328,0
12390090,0
12445377,0
12482617,1
12482853,1
12493589,0
12555637,0
12573478,0
12984034,0
13046341,0
13374672,14
13407016,5
13485883,0
13498939,0
13575507,0
13591501,12
13745503,0
13800286,0
13825157,0
13936271,0
13963468,0
13988762,0
14029541,0
14145861,0
14218149,0
14286544,0
14536251,214
14752755,0
14819160,10
14838321,0
14870171,0
14989147,0
15105024,8
15219914,2
15408689,2
15630156,0
15634015,0
15777563,0
15789441,0
15818554,0
15848561,0
15850753,0
16027393,0
16102031,0
16193225,0
16425799,0
16467857,0
16472186,70
16619714,0
16620617,0
16708479,0
17026758,0
17172918,0
17389423,0
17440881,0
17498336,5
17632542,0
17663271,0
17665409,0
17760550,2
17785499,0
17796761,0
17801506,0
17816625,0
18000409,0
18023673,0
18129905,0
18264371,0
18270718,0
18284713,0
18290332,0
18332120,0
18422785,0
18548728,0
18826708,0
18838350,0
18861790,0
19531511,0
19532442,0
19556947,0
19713594,0
19758265,1
19848115,0
19938807,0
19968609,0
19982733,0
19982922,0
20077201,0
20187604,0
20593971,1
20648244,0
20662877,0
20667964,0
20693413,0
21146530,0
21201454,129
21322704,1
21360040,0
21561964,0
21620625,0
21685135,36
22041731,0
22086032,0
22216656,0
22304244,0
22331853,0
22458274,0
22654622,76
22752448,0
23066372,0
23441058,0
23686537,47
23996356,0
24796473,0
24841797,1
24938794,0
24965137,21
25224120,0
25333585,0
25833787,0
25865890,0
26221512,0
26348442,2
26565684,0
27105955,6
27148904,0
27232554,0
27368905,0
27517172,0
27552291,0
27590149,0
27683090,0
27984276,0
28132474,0
28370725,0
28429046,0
28506839,0
28544819,0
28703055,0
28707063,0
28851790,20
28977818,3
28987187,0
29085491,0
29168314,0
29209187,3
29257438,0
29352963,0
29365494,0
29559601,0
29612597,0
29669543,0
29873244,0
29875128,0
30149217,0
30277669,0
30482691,3
30563070,0
30593749,0
30597136,0
30682266,0
30791858,0
30842366,0
30932642,0
30988846,0
31011708,0
31150321,33
31266028,0
31462338,0
31462347,0
31472502,0
31675261,0
32717382,0
34611402,0
34845713,0
34905286,0
36769710,0
38021184,0
43033531,0
47727488,1
48762605,0
52515283,1
52785686,0
52835462,10
52841113,0
52922816,0
53111668,0
53262729,0
56567840,0
57133846,0
57321820,0
57421331,0
57439611,0
